project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,oracle,7,0.9,0.0,0.16123315798677412,0.534576965818135,-0.05485335910998248
ant-ivy,oracle,7,0.9,0.05,0.17525323986189814,0.5468224484635517,-0.05485335910998248
ant-ivy,oracle,7,0.9,0.1,0.17705515119392232,0.547392348156622,-0.05485335910998248
ant-ivy,oracle,7,0.9,0.25,0.1986108868226111,0.5605377234254346,-0.05485335910998248
ant-ivy,oracle,7,0.95,0.0,0.1594929183802425,0.5576831115562414,-0.08646823856270412
ant-ivy,oracle,7,0.95,0.05,0.1732796152779991,0.5695327774678026,-0.08646823856270412
ant-ivy,oracle,7,0.95,0.1,0.17691767952671833,0.5714674986970664,-0.08646823856270412
ant-ivy,oracle,7,0.95,0.25,0.19605301620213975,0.5828394043282494,-0.08646823856270412
ant-ivy,oracle,7,0.99,0.0,0.16527535191436443,0.5910242942440738,-0.008328049077056136
ant-ivy,oracle,7,0.99,0.05,0.17880941893693225,0.6036693509337634,-0.008328049077056136
ant-ivy,oracle,7,0.99,0.1,0.18764417020820848,0.6099031674184473,-0.008328049077056136
ant-ivy,oracle,7,0.99,0.25,0.20416819093813132,0.621662442496398,-0.008328049077056136
ant-ivy,oracle,7,0.995,0.0,0.1672651333936561,0.594469476550386,0.06154196904666709
ant-ivy,oracle,7,0.995,0.05,0.18088280302998394,0.6072368849494705,0.06154196904666709
ant-ivy,oracle,7,0.995,0.1,0.19071781067964338,0.6142901487489674,0.06154196904666709
ant-ivy,oracle,7,0.995,0.25,0.20872992536834437,0.627676426825064,0.06154196904666709
ant-ivy,oracle,7,0.999,0.0,0.15591545591103817,0.5838631969396294,0.18275013685220326
ant-ivy,oracle,7,0.999,0.05,0.16894115470941382,0.5960388092787972,0.18275013685220326
ant-ivy,oracle,7,0.999,0.1,0.17880480380404026,0.6029983426791593,0.18275013685220326
ant-ivy,oracle,7,0.999,0.25,0.19703259582342766,0.6163087416775366,0.18275013685220326
ant-ivy,oracle,13,0.9,0.0,0.1917030587777976,0.5741097811272247,-0.027870419859556045
ant-ivy,oracle,13,0.9,0.05,0.20628136832818839,0.5876584151451218,-0.027870419859556045
ant-ivy,oracle,13,0.9,0.1,0.2029197315467148,0.5858494522349493,-0.027870419859556045
ant-ivy,oracle,13,0.9,0.25,0.23450673701830435,0.6118083674990579,-0.027870419859556045
ant-ivy,oracle,13,0.95,0.0,0.18844698726440132,0.5894248733496393,-0.005772384064687606
ant-ivy,oracle,13,0.95,0.05,0.2028456829685652,0.6023299415182737,-0.005772384064687606
ant-ivy,oracle,13,0.95,0.1,0.20242133983605476,0.6023656774483054,-0.005772384064687606
ant-ivy,oracle,13,0.95,0.25,0.23101189586956108,0.6239096526767449,-0.005772384064687606
ant-ivy,oracle,13,0.99,0.0,0.1856092218102792,0.6055434841983699,0.04262066373076497
ant-ivy,oracle,13,0.99,0.05,0.19961733721236602,0.6185569038944502,0.04262066373076497
ant-ivy,oracle,13,0.99,0.1,0.2063885625714097,0.6234506956856569,0.04262066373076497
ant-ivy,oracle,13,0.99,0.25,0.22659055960379343,0.6376577712225138,0.04262066373076497
ant-ivy,oracle,13,0.995,0.0,0.18636813788400272,0.6070726176697052,0.08334420015913963
ant-ivy,oracle,13,0.995,0.05,0.20044291644125037,0.6201374481261587,0.08334420015913963
ant-ivy,oracle,13,0.995,0.1,0.2085737966191234,0.6259951416713248,0.08334420015913963
ant-ivy,oracle,13,0.995,0.25,0.22837425130559863,0.6402253364643032,0.08334420015913963
ant-ivy,oracle,13,0.999,0.0,0.1767846506689214,0.597320049905515,0.1930168362859305
ant-ivy,oracle,13,0.999,0.05,0.19039781276946532,0.6098611258960717,0.1930168362859305
ant-ivy,oracle,13,0.999,0.1,0.19899980894577607,0.6158804042366758,0.1930168362859305
ant-ivy,oracle,13,0.999,0.25,0.21787061830747384,0.6291657914857252,0.1930168362859305
ant-ivy,oracle,21,0.9,0.0,0.22980012423211202,0.5983267024548883,-0.04873986529700858
ant-ivy,oracle,21,0.9,0.05,0.24525786929708318,0.6123968529858327,-0.04873986529700858
ant-ivy,oracle,21,0.9,0.1,0.24880741915829122,0.6153369973261734,-0.04873986529700858
ant-ivy,oracle,21,0.9,0.25,0.25137055686798504,0.6160463952710797,-0.04873986529700858
ant-ivy,oracle,21,0.95,0.0,0.22672222550747048,0.6100118293259631,-0.07985324465073745
ant-ivy,oracle,21,0.95,0.05,0.24225010038138592,0.6234028363538664,-0.07985324465073745
